Bin,Frequency_Hz,Power
0,0.00,0.001462
1,3.91,0.001484
2,7.81,0.001484
3,11.72,0.001479
4,15.62,0.001476
5,19.53,0.001472
6,23.44,0.001472
7,27.34,0.001459
8,31.25,0.001476
9,35.16,0.001465
10,39.06,0.001435
11,42.97,0.001485
12,46.88,0.001505
13,50.78,0.001535
14,54.69,0.001702
15,58.59,0.002400
16,62.50,0.001867
17,66.41,0.001722
18,70.31,0.001748
19,74.22,0.001717
20,78.12,0.001927
21,82.03,0.001788
22,85.94,0.001643
23,89.84,0.001951
24,93.75,0.001974
25,97.66,0.001899
26,101.56,0.002026
27,105.47,0.001976
28,109.38,0.002054
29,113.28,0.002304
30,117.19,0.002310
31,121.09,0.002725
32,125.00,0.001925
33,128.91,0.002185
34,132.81,0.001850
35,136.72,0.002132
36,140.62,0.002179
37,144.53,0.002091
38,148.44,0.002314
39,152.34,0.002045
40,156.25,0.001959
41,160.16,0.002088
42,164.06,0.002301
43,167.97,0.001990
44,171.88,0.001790
45,175.78,0.002039
46,179.69,0.003552
47,183.59,0.001870
48,187.50,0.002014
49,191.41,0.001933
50,195.31,0.001893
51,199.22,0.002119
52,203.12,0.001561
53,207.03,0.001915
54,210.94,0.002019
55,214.84,0.001920
56,218.75,0.002318
57,222.66,0.003501
58,226.56,0.002081
59,230.47,0.002253
60,234.38,0.002231
61,238.28,0.003676
62,242.19,0.003267
63,246.09,0.002667
64,250.00,0.004982
65,253.91,0.002667
66,257.81,0.002786
67,261.72,0.002803
68,265.62,0.003203
69,269.53,0.002919
70,273.44,0.002915
71,277.34,0.003001
72,281.25,0.002864
73,285.16,0.002906
74,289.06,0.003121
75,292.97,0.003143
76,296.88,0.003250
77,300.78,0.005397
78,304.69,0.003079
79,308.59,0.003168
80,312.50,0.003396
81,316.41,0.003353
82,320.31,0.003662
83,324.22,0.003265
84,328.12,0.003165
85,332.03,0.003704
86,335.94,0.004721
87,339.84,0.003518
88,343.75,0.003603
89,347.66,0.003287
90,351.56,0.003140
91,355.47,0.003304
92,359.38,0.004866
93,363.28,0.003457
94,367.19,0.003821
95,371.09,0.003297
96,375.00,0.003223
97,378.91,0.003311
98,382.81,0.002961
99,386.72,0.003057
100,390.62,0.003551
101,394.53,0.003090
102,398.44,0.003287
103,402.34,0.003138
104,406.25,0.002814
105,410.16,0.002740
106,414.06,0.003290
107,417.97,0.002947
108,421.88,0.002670
109,425.78,0.002663
110,429.69,0.002575
111,433.59,0.002440
112,437.50,0.002720
113,441.41,0.002449
114,445.31,0.004120
115,449.22,0.002594
116,453.12,0.002056
117,457.03,0.002366
118,460.94,0.002627
119,464.84,0.002673
120,468.75,0.002463
121,472.66,0.002888
122,476.56,0.002868
123,480.47,0.003415
124,484.38,0.003172
125,488.28,0.002902
126,492.19,0.003221
127,496.09,0.003157
128,500.00,0.003872
129,503.91,0.003551
130,507.81,0.003592
131,511.72,0.003889
132,515.62,0.004242
133,519.53,0.003929
134,523.44,0.004083
135,527.34,0.004219
136,531.25,0.004475
137,535.16,0.004296
138,539.06,0.005209
139,542.97,0.004401
140,546.88,0.004450
141,550.78,0.004687
142,554.69,0.004428
143,558.59,0.006178
144,562.50,0.004997
145,566.41,0.004789
146,570.31,0.004874
147,574.22,0.004749
148,578.12,0.004599
149,582.03,0.004716
150,585.94,0.005028
151,589.84,0.004919
152,593.75,0.004753
153,597.66,0.005292
154,601.56,0.005202
155,605.47,0.005013
156,609.38,0.005305
157,613.28,0.005081
158,617.19,0.005242
159,621.09,0.004926
160,625.00,0.004733
161,628.91,0.005035
162,632.81,0.005136
163,636.72,0.004890
164,640.62,0.004980
165,644.53,0.004824
166,648.44,0.005440
167,652.34,0.004895
168,656.25,0.005188
169,660.16,0.005102
170,664.06,0.005107
171,667.97,0.005656
172,671.88,0.004695
173,675.78,0.004846
174,679.69,0.003895
175,683.59,0.004416
176,687.50,0.004116
177,691.41,0.004181
178,695.31,0.004079
179,699.22,0.005086
180,703.12,0.003923
181,707.03,0.004041
182,710.94,0.003721
183,714.84,0.003801
184,718.75,0.004079
185,722.66,0.004150
186,726.56,0.004179
187,730.47,0.004317
188,734.38,0.004621
189,738.28,0.004622
190,742.19,0.004803
191,746.09,0.004725
192,750.00,0.008778
193,753.91,0.005355
194,757.81,0.005576
195,761.72,0.005776
196,765.62,0.006329
197,769.53,0.006274
198,773.44,0.006518
199,777.34,0.007245
200,781.25,0.008098
201,785.16,0.007582
202,789.06,0.007790
203,792.97,0.008344
204,796.88,0.008913
205,800.78,0.013655
206,804.69,0.008481
207,808.59,0.008943
208,812.50,0.009220
209,816.41,0.009619
210,820.31,0.010341
211,824.22,0.010169
212,828.12,0.010318
213,832.03,0.010960
214,835.94,0.011757
215,839.84,0.011915
216,843.75,0.012456
217,847.66,0.015164
218,851.56,0.017524
219,855.47,0.013599
220,859.38,0.012664
221,863.28,0.013648
222,867.19,0.013826
223,871.09,0.014072
224,875.00,0.014767
225,878.91,0.014881
226,882.81,0.015434
227,886.72,0.016028
228,890.62,0.016724
229,894.53,0.017661
230,898.44,0.020088
231,902.34,0.019702
232,906.25,0.018377
233,910.16,0.018941
234,914.06,0.018963
235,917.97,0.020032
236,921.88,0.019976
237,925.78,0.021022
238,929.69,0.021608
239,933.59,0.022652
240,937.50,0.025118
241,941.41,0.025832
242,945.31,0.028475
243,949.22,0.038706
244,953.12,0.030308
245,957.03,0.031882
246,960.94,0.037116
247,964.84,0.037857
248,968.75,0.043917
249,972.66,0.047406
250,976.56,0.055069
251,980.47,0.059649
252,984.38,0.063311
253,988.28,0.082693
254,992.19,0.114346
255,996.09,0.219570
256,1000.00,48.034985
257,1003.91,0.211628
258,1007.81,0.116395
259,1011.72,0.080180
260,1015.62,0.064221
