Bin,Frequency_Hz,Power
0,0.00,0.001319
1,3.91,0.001300
2,7.81,0.001302
3,11.72,0.001298
4,15.62,0.001306
5,19.53,0.001294
6,23.44,0.001283
7,27.34,0.001293
8,31.25,0.001332
9,35.16,0.001302
10,39.06,0.001323
11,42.97,0.001325
12,46.88,0.001347
13,50.78,0.001364
14,54.69,0.001439
15,58.59,0.001906
16,62.50,0.001623
17,66.41,0.001517
18,70.31,0.001369
19,74.22,0.001749
20,78.12,0.001360
21,82.03,0.001486
22,85.94,0.001428
23,89.84,0.001508
24,93.75,0.001580
25,97.66,0.001545
26,101.56,0.001776
27,105.47,0.001630
28,109.38,0.001961
29,113.28,0.001900
30,117.19,0.001720
31,121.09,0.002643
32,125.00,0.001857
33,128.91,0.001890
34,132.81,0.001813
35,136.72,0.001741
36,140.62,0.001740
37,144.53,0.001946
38,148.44,0.001825
39,152.34,0.001925
40,156.25,0.001983
41,160.16,0.001953
42,164.06,0.002254
43,167.97,0.001815
44,171.88,0.002282
45,175.78,0.001765
46,179.69,0.003390
47,183.59,0.001999
48,187.50,0.001968
49,191.41,0.001919
50,195.31,0.001766
51,199.22,0.001979
52,203.12,0.001690
53,207.03,0.001829
54,210.94,0.001820
55,214.84,0.001824
56,218.75,0.001892
57,222.66,0.003339
58,226.56,0.002290
59,230.47,0.002106
60,234.38,0.002120
61,238.28,0.002481
62,242.19,0.002808
63,246.09,0.002038
64,250.00,0.002397
65,253.91,0.001959
66,257.81,0.001702
67,261.72,0.001841
68,265.62,0.001981
69,269.53,0.002115
70,273.44,0.001890
71,277.34,0.001961
72,281.25,0.001837
73,285.16,0.002258
74,289.06,0.001934
75,292.97,0.002256
76,296.88,0.002273
77,300.78,0.002878
78,304.69,0.002633
79,308.59,0.002122
80,312.50,0.002245
81,316.41,0.002237
82,320.31,0.002358
83,324.22,0.002383
84,328.12,0.002243
85,332.03,0.002765
86,335.94,0.003292
87,339.84,0.002524
88,343.75,0.002491
89,347.66,0.002225
90,351.56,0.002275
91,355.47,0.002164
92,359.38,0.003069
93,363.28,0.002519
94,367.19,0.002298
95,371.09,0.002546
96,375.00,0.002348
97,378.91,0.002414
98,382.81,0.002401
99,386.72,0.002270
100,390.62,0.001993
101,394.53,0.002295
102,398.44,0.002663
103,402.34,0.002409
104,406.25,0.002239
105,410.16,0.002350
106,414.06,0.002241
107,417.97,0.002583
108,421.88,0.002457
109,425.78,0.002380
110,429.69,0.002025
111,433.59,0.002224
112,437.50,0.001769
113,441.41,0.002294
114,445.31,0.003906
115,449.22,0.002362
116,453.12,0.002161
117,457.03,0.001921
118,460.94,0.002213
119,464.84,0.002132
120,468.75,0.002380
121,472.66,0.002104
122,476.56,0.002122
123,480.47,0.002379
124,484.38,0.001914
125,488.28,0.002231
126,492.19,0.002113
127,496.09,0.001831
128,500.00,0.002268
129,503.91,0.002180
130,507.81,0.002126
131,511.72,0.001888
132,515.62,0.002141
133,519.53,0.002136
134,523.44,0.002132
135,527.34,0.002484
136,531.25,0.002165
137,535.16,0.002328
138,539.06,0.002530
139,542.97,0.002224
140,546.88,0.002468
141,550.78,0.002316
142,554.69,0.002415
143,558.59,0.003986
144,562.50,0.002314
145,566.41,0.002406
146,570.31,0.002236
147,574.22,0.002453
148,578.12,0.002366
149,582.03,0.002240
150,585.94,0.002238
151,589.84,0.002246
152,593.75,0.002423
153,597.66,0.002858
154,601.56,0.003275
155,605.47,0.002716
156,609.38,0.002881
157,613.28,0.002625
158,617.19,0.002691
159,621.09,0.002642
160,625.00,0.003133
161,628.91,0.002572
162,632.81,0.002474
163,636.72,0.002565
164,640.62,0.002829
165,644.53,0.002605
166,648.44,0.002584
167,652.34,0.002674
168,656.25,0.002652
169,660.16,0.002641
170,664.06,0.002744
171,667.97,0.004415
172,671.88,0.002772
173,675.78,0.002713
174,679.69,0.002648
175,683.59,0.002709
176,687.50,0.002820
177,691.41,0.002725
178,695.31,0.002469
179,699.22,0.002769
180,703.12,0.002535
181,707.03,0.002747
182,710.94,0.002905
183,714.84,0.002834
184,718.75,0.002690
185,722.66,0.002643
186,726.56,0.002860
187,730.47,0.002648
188,734.38,0.002691
189,738.28,0.002581
190,742.19,0.002525
191,746.09,0.002370
192,750.00,0.002973
193,753.91,0.002489
194,757.81,0.002299
195,761.72,0.002286
196,765.62,0.002657
197,769.53,0.002698
198,773.44,0.002469
199,777.34,0.002647
200,781.25,0.004720
201,785.16,0.002416
202,789.06,0.002559
203,792.97,0.002586
204,796.88,0.002343
205,800.78,0.002539
206,804.69,0.002565
207,808.59,0.002481
208,812.50,0.002655
209,816.41,0.002746
210,820.31,0.002695
211,824.22,0.002788
212,828.12,0.002541
213,832.03,0.002486
214,835.94,0.002912
215,839.84,0.002776
216,843.75,0.002557
217,847.66,0.002776
218,851.56,0.002947
219,855.47,0.002686
220,859.38,0.002541
221,863.28,0.002492
222,867.19,0.001974
223,871.09,0.002708
