Bin,Frequency_Hz,Power
0,0.00,0.017096
1,3.91,0.017106
2,7.81,0.017130
3,11.72,0.017172
4,15.62,0.017214
5,19.53,0.017269
6,23.44,0.017334
7,27.34,0.017387
8,31.25,0.017593
9,35.16,0.017554
10,39.06,0.017868
11,42.97,0.017946
12,46.88,0.018098
13,50.78,0.018189
14,54.69,0.018402
15,58.59,0.018824
16,62.50,0.019169
17,66.41,0.019322
18,70.31,0.019503
19,74.22,0.019502
20,78.12,0.020958
21,82.03,0.020914
22,85.94,0.020638
23,89.84,0.021722
24,93.75,0.024882
25,97.66,0.027017
26,101.56,0.044270
27,105.47,0.062874
28,109.38,0.068570
29,113.28,0.064407
30,117.19,0.075304
31,121.09,0.076753
32,125.00,0.083902
33,128.91,0.083502
34,132.81,0.082431
35,136.72,0.082912
36,140.62,0.085805
37,144.53,0.073886
38,148.44,0.059132
39,152.34,0.045862
40,156.25,0.040931
41,160.16,0.043347
42,164.06,0.047517
43,167.97,0.051681
44,171.88,0.050870
45,175.78,0.056746
46,179.69,0.057212
47,183.59,0.072250
48,187.50,0.085772
49,191.41,0.101172
50,195.31,0.137852
51,199.22,0.216185
52,203.12,0.274594
53,207.03,0.428975
54,210.94,0.468255
55,214.84,0.460063
56,218.75,0.493840
57,222.66,0.431184
58,226.56,0.418207
59,230.47,0.447538
60,234.38,0.420456
61,238.28,0.463780
62,242.19,0.515673
63,246.09,0.484467
64,250.00,0.460754
65,253.91,0.391614
66,257.81,0.302978
67,261.72,0.292458
68,265.62,0.296852
69,269.53,0.298532
70,273.44,0.280558
71,277.34,0.224392
72,281.25,0.266025
73,285.16,0.227765
74,289.06,0.193456
75,292.97,0.230149
76,296.88,0.237700
77,300.78,0.312109
78,304.69,0.402837
79,308.59,0.518811
80,312.50,0.571968
81,316.41,0.481544
82,320.31,0.496025
83,324.22,0.593754
84,328.12,0.545567
85,332.03,0.546610
86,335.94,0.520338
87,339.84,0.532855
88,343.75,0.527858
89,347.66,0.504273
90,351.56,0.507279
91,355.47,0.491357
92,359.38,0.546442
93,363.28,0.549042
94,367.19,0.642820
95,371.09,0.648754
96,375.00,0.586821
97,378.91,0.545965
98,382.81,0.524077
99,386.72,0.511561
100,390.62,0.456768
101,394.53,0.478836
102,398.44,0.562665
103,402.34,0.634814
104,406.25,0.808875
105,410.16,1.014210
106,414.06,1.081535
107,417.97,0.994386
108,421.88,0.907468
109,425.78,0.978559
110,429.69,0.946645
111,433.59,0.988046
112,437.50,0.984776
113,441.41,0.933102
114,445.31,0.700175
115,449.22,0.656244
116,453.12,0.595715
117,457.03,0.603374
118,460.94,0.790275
119,464.84,0.715104
120,468.75,0.720553
121,472.66,0.656614
122,476.56,0.685640
123,480.47,0.770284
124,484.38,0.723096
125,488.28,0.820217
126,492.19,0.834536
127,496.09,0.806220
128,500.00,0.685785
129,503.91,0.632922
130,507.81,0.616572
131,511.72,0.657242
132,515.62,0.553085
133,519.53,0.663555
134,523.44,0.553986
135,527.34,0.483832
136,531.25,0.561107
137,535.16,0.669876
138,539.06,0.646370
139,542.97,0.622890
140,546.88,0.555285
141,550.78,0.470948
142,554.69,0.488631
143,558.59,0.414360
144,562.50,0.434522
145,566.41,0.395440
146,570.31,0.347086
147,574.22,0.381187
148,578.12,0.344802
149,582.03,0.341635
150,585.94,0.327447
151,589.84,0.291942
152,593.75,0.280859
153,597.66,0.284503
154,601.56,0.303263
155,605.47,0.347486
156,609.38,0.384575
157,613.28,0.389719
158,617.19,0.440246
159,621.09,0.398684
160,625.00,0.319194
161,628.91,0.256646
162,632.81,0.258222
163,636.72,0.206748
164,640.62,0.180413
165,644.53,0.196758
166,648.44,0.185031
167,652.34,0.190538
168,656.25,0.153753
169,660.16,0.175570
170,664.06,0.218182
171,667.97,0.284822
172,671.88,0.309745
173,675.78,0.282671
174,679.69,0.233126
175,683.59,0.177810
176,687.50,0.155913
177,691.41,0.184292
178,695.31,0.191946
179,699.22,0.176322
180,703.12,0.182917
181,707.03,0.176984
182,710.94,0.179241
183,714.84,0.183087
184,718.75,0.199170
185,722.66,0.176048
186,726.56,0.156928
187,730.47,0.132266
188,734.38,0.133065
189,738.28,0.154228
190,742.19,0.156599
191,746.09,0.167698
192,750.00,0.156035
193,753.91,0.137264
194,757.81,0.112146
195,761.72,0.123032
196,765.62,0.113340
197,769.53,0.102260
198,773.44,0.094577
199,777.34,0.110007
200,781.25,0.104318
201,785.16,0.088274
202,789.06,0.103004
203,792.97,0.112135
204,796.88,0.117296
205,800.78,0.132455
206,804.69,0.140273
207,808.59,0.122288
208,812.50,0.097034
209,816.41,0.100285
210,820.31,0.118586
211,824.22,0.113728
212,828.12,0.101036
213,832.03,0.108847
214,835.94,0.115931
215,839.84,0.121819
216,843.75,0.125633
217,847.66,0.121866
218,851.56,0.112399
