Bin,Frequency_Hz,Power
0,0.00,0.080605
1,3.91,0.080693
2,7.81,0.080836
3,11.72,0.081187
4,15.62,0.081444
5,19.53,0.081987
6,23.44,0.082483
7,27.34,0.083708
8,31.25,0.085047
9,35.16,0.085831
10,39.06,0.088053
11,42.97,0.090153
12,46.88,0.098830
13,50.78,0.102456
14,54.69,0.096824
15,58.59,0.107320
16,62.50,0.104575
17,66.41,0.107894
18,70.31,0.110611
19,74.22,0.126527
20,78.12,0.144070
21,82.03,0.196184
22,85.94,0.267393
23,89.84,0.306260
24,93.75,0.393007
25,97.66,0.457647
26,101.56,0.528225
27,105.47,0.550388
28,109.38,0.550464
29,113.28,0.761266
30,117.19,1.117017
31,121.09,0.944390
32,125.00,0.849645
33,128.91,0.572565
34,132.81,0.483070
35,136.72,0.471902
36,140.62,0.476315
37,144.53,0.390397
38,148.44,0.346849
39,152.34,0.343336
40,156.25,0.356803
41,160.16,0.396922
42,164.06,0.453494
43,167.97,0.485017
44,171.88,0.452629
45,175.78,0.541397
46,179.69,0.557664
47,183.59,0.599267
48,187.50,0.681326
49,191.41,0.841152
50,195.31,0.817425
51,199.22,0.987159
52,203.12,0.973125
53,207.03,1.110906
54,210.94,1.192372
55,214.84,1.161461
56,218.75,1.185210
57,222.66,1.083399
58,226.56,1.331080
59,230.47,1.755839
60,234.38,1.716372
61,238.28,1.698201
62,242.19,1.529046
63,246.09,1.321086
64,250.00,0.962480
65,253.91,1.052674
66,257.81,0.957525
67,261.72,0.857337
68,265.62,0.832099
69,269.53,0.774372
70,273.44,0.879185
71,277.34,0.908632
72,281.25,0.979941
73,285.16,0.978784
74,289.06,0.948269
75,292.97,0.878069
76,296.88,0.829955
77,300.78,0.782496
78,304.69,0.817412
79,308.59,0.798528
80,312.50,0.868928
81,316.41,0.993572
82,320.31,0.932214
83,324.22,0.849933
84,328.12,0.810512
85,332.03,0.880024
86,335.94,1.058105
87,339.84,1.149655
88,343.75,1.435122
89,347.66,1.661102
90,351.56,1.626347
91,355.47,1.722306
92,359.38,1.660413
93,363.28,1.717349
94,367.19,1.562227
95,371.09,1.241828
96,375.00,1.089889
97,378.91,1.060912
98,382.81,1.035813
99,386.72,0.896352
100,390.62,1.048020
101,394.53,1.095678
102,398.44,1.158720
103,402.34,1.180867
104,406.25,1.157581
105,410.16,1.051015
106,414.06,1.184441
107,417.97,1.408547
108,421.88,1.412861
109,425.78,1.404537
110,429.69,1.382090
111,433.59,1.283828
112,437.50,1.336691
113,441.41,1.330745
114,445.31,1.216013
115,449.22,1.383380
116,453.12,1.438643
117,457.03,1.883119
118,460.94,2.109623
119,464.84,2.652358
120,468.75,2.356442
121,472.66,2.490988
122,476.56,2.277917
123,480.47,2.537861
124,484.38,2.296020
125,488.28,2.078481
126,492.19,1.843203
127,496.09,1.607547
128,500.00,1.648326
129,503.91,1.496175
130,507.81,1.723895
131,511.72,1.565321
132,515.62,1.555039
133,519.53,1.562454
134,523.44,1.348916
135,527.34,1.590967
136,531.25,1.401546
137,535.16,1.338418
138,539.06,1.361211
139,542.97,1.410124
140,546.88,1.306282
141,550.78,1.039567
142,554.69,1.020527
143,558.59,1.134488
144,562.50,1.126661
145,566.41,1.237911
146,570.31,1.460513
147,574.22,1.715257
148,578.12,1.740639
149,582.03,1.779664
150,585.94,1.760046
151,589.84,1.380996
152,593.75,1.701998
153,597.66,1.380805
154,601.56,1.033633
155,605.47,1.084485
156,609.38,1.032514
157,613.28,1.057183
158,617.19,0.825458
159,621.09,0.798282
160,625.00,0.969600
161,628.91,1.119475
162,632.81,0.884376
163,636.72,0.834569
164,640.62,0.931377
165,644.53,0.864160
166,648.44,0.760278
167,652.34,0.880561
168,656.25,0.766600
169,660.16,0.803920
170,664.06,0.787351
171,667.97,0.734582
172,671.88,0.867298
173,675.78,0.488308
174,679.69,0.691624
175,683.59,0.675504
176,687.50,0.655124
177,691.41,0.743555
